Unnamed: 3,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg,Non-tax Revenues
01/01/1991,18.7,,,950.41,635.57,,,,28,,26611.48,17795.96,1585.98,44407.44,97705.47888,62289650.88,5525
01/02/1991,20.2,,,1094.81,662.65,,,,28,,30654.68,18554.2,1757.46,49208.88,110051.3909,62437046.13,1147
01/03/1991,21.1,,1243019.24,1076.87,742.13,18.29,31.98,49.73,28,325283,30152.36,20779.64,1819,50932,117526.1302,62571041.81,1267
01/04/1991,20.6,,,896.52,709.7,,,,27.9261,,25036.30717,19819.15317,1606.22,44855.46034,109726.6647,62691637.92,3419
01/05/1991,20.8,,,983.15,688.51,,,,27.8186,,27349.85659,19153.38429,1671.66,46503.24088,115504.256,62798834.47,2258
01/06/1991,20.6,,1276754.84,937.91,767.7,16.58,31.93,51.49,27.7955,341433,26069.67741,21338.60535,1705.61,47408.28276,116202.0793,62892631.44,1869
01/07/1991,19.9,,,1025.69,793.5,,,,27.621,,28330.58349,21917.2635,1819.19,50247.84699,117719.3093,62973028.85,3990
01/08/1991,21.2,,,967.43,741.2,,,,27.1995,,26313.61229,20160.2694,1708.63,46473.88169,109829.4605,63040026.69,1541
01/09/1991,20.9,,1257010.37,988.48,764.46,14.7,33.82,51.48,26.9834,344791,26672.55123,20627.72996,1752.94,47300.28119,117242.2302,63093624.96,2405
01/10/1991,19,,,1023.15,756.88,,,,26.9946,,27619.52499,20431.67285,1780.03,48051.19784,129655.021,63133823.67,2129
01/11/1991,17.3,,,1110.04,751.08,,,,26.7366,,29678.69546,20081.32553,1861.12,49760.02099,140477.8961,63160622.81,2692
01/12/1991,13.2,62854666,1462844.73,996.9,826.13,18.78,32.42,48.8,26.6683,411450,26585.62827,22031.48268,1823.03,48617.11095,141317.0829,63174022.37,10270
01/01/1992,10.9,,,1037.69,662.37,,,,26.5446,,27545.06597,17582.3467,1700.06,45127.41267,136347.8527,63004203.31,2508
01/02/1992,9.1,,,1032.51,714.9,,,,26.158,,27008.39658,18700.3542,1747.41,45708.75078,137765.5289,62965193.58,2313
01/03/1992,8.7,,1244652.42,1164.81,898.46,18.11,32.58,49.3,25.8102,362800,30063.97906,23189.43229,2063.27,53253.41135,128415.5503,62929730.18,4912
01/04/1992,8.4,,,1196.81,666.45,,,,25.6672,,30718.76163,17105.90544,1863.26,47824.66707,120089.5621,62897813.13,1441
01/05/1992,8.9,,,1186.29,811.71,,,,26.1496,,31021.00898,21225.89182,1998,52246.9008,124258.7011,62869442.41,2625
01/06/1992,8.8,,1262124.78,1088.95,835.57,16.14,31.87,51.99,26.1205,368201,28443.91848,21825.50619,1924.52,50269.42467,122945.2353,62844618.04,2474
01/07/1992,9,,,1166.41,851.13,,,,25.2616,,29465.38286,21500.90561,2017.54,50966.28847,123516.4148,62823340,3045
01/08/1992,8.4,,,1399.19,913.09,,,,24.6691,,34516.75803,22525.10852,2312.28,57041.86655,126594.5861,62805608.31,2978
01/09/1992,8,,1233097.82,1335.7,873.34,14.39,34.05,51.56,24.726,370452,33026.5182,21594.20484,2209.04,54620.72304,122506.5729,62791422.95,3262
01/10/1992,8,,,1330.79,860.36,,,,24.7849,,32983.49707,21323.93656,2191.15,54307.43363,123051.783,62780783.93,2350
01/11/1992,8,,,1255.04,824.14,,,,24.9361,,31295.80294,20550.83745,2079.18,51846.64039,121974.1107,62773691.25,1078
01/12/1992,7.4,64382249,1476888.94,1324.72,912.8,19.52,30.72,49.77,25.3221,440072,33544.69231,23114.01288,2237.52,56658.70519,156574.3241,64702019.13,5023
01/01/1993,7.4,,,1183.58,790.44,,,,25.2801,,29921.02076,19982.40224,1974.02,49903.423,145693.6567,64532024.65,4228
01/02/1993,7.3,,,1181.68,842.71,,,,25.3116,,29910.21149,21330.33844,2024.39,51240.54993,147833.0751,64492952.74,1975
01/03/1993,6.8,,1271890.91,1390.57,842.46,18.85,31.29,49.87,25.3656,387781,35272.64239,21369.50338,2233.03,56642.14577,134920.6944,64457432.82,1220
01/04/1993,6.8,,,1504,861.73,,,,26.078,,39221.312,22472.19494,2365.73,61693.50694,133452.0571,64425464.9,1917
01/05/1993,6,,,1460.29,932.14,,,,27.0064,,39437.17586,25173.7457,2392.43,64610.92156,130253.3256,64397048.97,2565
01/06/1993,6.2,,1259193.14,1335.13,914.44,16.18,31.92,51.9,27.2063,397727,36323.94732,24878.52897,2249.57,61202.47629,126778.5894,64372185.02,2747
01/07/1993,6.1,,,1553.48,998.17,,,,27.5688,,42827.57942,27518.3491,2551.65,70345.92852,136284.8795,64350873.07,4543
01/08/1993,6.3,,,1512.67,994.5,,,,27.9489,,42277.46256,27795.18105,2507.17,70072.64361,131622.9106,64333113.12,1480
01/09/1993,6.7,,1237813.31,1565.59,1018.3,13.78,34.52,51.7,28.2337,407532,44202.39838,28750.37671,2583.89,72952.77509,137141.9937,64318905.15,2491
01/10/1993,6.9,,,1654.69,1012.52,,,,29.16,,48250.7604,29525.0832,2667.21,77775.8436,138872.9963,64308249.17,2652
01/11/1993,6.9,,,1682.74,1163.36,,,,28.4849,,47932.68063,33138.19326,2846.1,81070.87389,137209.1185,64301145.19,1762
01/12/1993,7.4,65926125,1469653.32,1572.98,1004.05,19.35,30.86,49.79,27.7939,489381,43719.24882,27906.4653,2577.03,71625.71412,155667.9513,66250194.24,2655
01/01/1994,12.8,,,1650.56,951.62,,,,27.7245,,45760.95072,26383.18869,2602.18,72144.13941,161488.5429,66077917.46,2340
01/02/1994,13.9,,,1349.04,927.01,,,,27.6463,,37295.96455,25628.39656,2276.05,62924.36111,157754.5805,66038319.42,4072
01/03/1994,13.4,,1283261.21,1599.52,1057.67,18,32.07,49.93,27.5872,446077,44126.27814,29178.15382,2657.19,73304.43196,156677.8938,66002321.21,10761
01/04/1994,13.6,,,1775.99,965.79,,,,27.5298,,48892.6495,26588.00554,2741.78,75480.65504,152008.0145,65969922.82,4294
01/05/1994,13.5,,,1810.36,1083.86,,,,27.053,,48975.66908,29321.66458,2894.22,78297.33366,149761.6867,65941124.25,4301
01/06/1994,13,,1291695.47,2041.89,1125.27,16.36,31.89,51.75,26.9756,462046,55081.20788,30354.83341,3167.16,85436.04129,162592.7467,65915925.51,2898
01/07/1994,12.6,,,1768.46,1217.56,,,,26.4608,,46794.86637,32217.61165,2986.02,79012.47802,152616.4887,65894326.58,2561
01/08/1994,12.5,,,1728.14,1178.01,,,,26.3132,,45472.89345,30997.21273,2906.15,76470.10618,152705.6549,65876327.48,4025
01/09/1994,11.7,,1270449.96,1967.95,1239.74,14.43,34.19,51.38,25.9113,469787,50992.14284,32123.27506,3207.69,83115.4179,165557.3359,65861928.19,6772
01/10/1994,11.3,,,1886.76,1299.34,,,,25.3945,,47913.32682,32996.08963,3186.1,80909.41645,157738.1375,65851128.73,7149
01/11/1994,11,,,1860.74,1128.46,,,,24.2648,,45150.48395,27381.85621,2989.2,72532.34016,151166.6244,65843929.09,13147
01/12/1994,10.8,67530621,1507443.46,1893.13,1308.55,18.29,31.97,49.74,24.145,554751,45709.62385,31594.93975,3201.68,77304.5636,192738.0544,67869607.68,2535
01/01/1995,6.1,,,1855.58,1160.75,,,,24.6223,,45688.64743,28580.33473,3016.33,74268.98216,185454.2445,67689400.95,2096
01/02/1995,5.6,,,1615.89,1263.77,,,,25.0282,,40442.8181,31629.88831,2879.66,72072.70641,183510.0756,67647980.09,11852
01/03/1995,6,,1328938.79,2142.54,1298.58,17.59,32.59,49.82,25.859,495093,55403.94186,33579.98022,3441.12,88983.92208,180134.3868,67610324.77,13544
01/04/1995,6,,,2229.56,1377.42,,,,26.0077,,57985.72761,35823.52613,3606.98,93809.25374,171433.0424,67576434.98,2382
01/05/1995,6.2,,,2143.63,1400.58,,,,25.8493,,55411.33496,36204.01259,3544.21,91615.34755,162402.4519,67546310.72,1530
01/06/1995,6.5,,1352499.4,2328.66,1521.69,15.47,32.57,51.96,25.6742,514116,59786.48257,39068.1734,3850.35,98854.65597,175294.7325,67519951.99,2493
01/07/1995,6.3,,,2175.49,1592.69,,,,25.514,,55505.45186,40635.89266,3768.18,96141.34452,170895.5258,67497358.8,1831
01/08/1995,6.8,,,2273.59,1591.45,,,,25.7109,,58456.04513,40917.61181,3865.04,99373.65694,173313.1689,67478531.14,3281
01/09/1995,8,,1336681,2444.22,1594.97,14.39,34.59,51.02,25.9692,537781,63474.43802,41420.09492,4039.19,104894.5329,189068.089,67463469.01,3723
01/10/1995,8.2,,,2342.36,1601.65,,,,25.9654,,60820.31434,41587.48291,3944.01,102407.7973,180512.6226,67452172.41,2003
01/11/1995,8.4,,,2414.72,1422.63,,,,26.1671,,63186.21971,37226.10147,3837.35,100412.3212,177800.3554,67444641.35,938
01/12/1995,8.2,69019291,1568846.69,2571.39,1621.01,17.14,32.66,50.2,26.206,629594,67385.84634,42480.18806,4192.4,109866.0344,226018.3063,69323664.44,5030
01/01/1996,9.5,,,2236.09,1420.45,,,,26.2116,,58611.49664,37232.26722,3656.54,95843.76386,206688.1409,69161858.26,6698
01/02/1996,9.3,,,2359.58,1594.01,,,,26.1588,,61723.7813,41697.38879,3953.59,103421.1701,215039.213,69124666.8,2285
01/03/1996,9.5,,1392448.47,2760.47,1670.6,17.04,32.82,50.14,26.1957,573212,72312.44398,43762.53642,4431.07,116074.9804,207370.3366,69090856.39,6240
01/04/1996,9.4,,,2811.15,1491.87,,,,26.1897,,73623.17516,39071.62774,4303.02,112694.8029,193529.0554,69060427.01,6842
01/05/1996,9.2,,,2712.35,1612.18,,,,26.1759,,70998.20237,42200.26246,4324.53,113198.4648,190807.7565,69033378.67,1477
01/06/1996,8.9,,1409521.45,2750.55,1793.39,15.57,32.62,51.82,26.1944,596298,72049.00692,46976.77502,4543.94,119025.7819,205532.037,69009711.38,2381
01/07/1996,8.7,,,2838.7,1693.69,,,,26.1995,,74372.52065,44373.83116,4532.39,118746.3518,200327.621,68989425.13,1838
01/08/1996,8.2,,,2799.68,1773.89,,,,26.1994,,73349.93619,46474.85367,4573.57,119824.7899,199007.8101,68972519.92,3167
