Date,COVID-19,TRAIN,CREATE,FIST,BIR_COMM
1/1/86,,,,,
2/1/86,,,,,
3/1/86,,,,,1
4/1/86,,,,,
5/1/86,,,,,
6/1/86,,,,,
7/1/86,,,,,
8/1/86,,,,,
9/1/86,,,,,
10/1/86,,,,,
11/1/86,,,,,
12/1/86,,,,,
1/1/87,,,,,
2/1/87,,,,,
3/1/87,,,,,
4/1/87,,,,,
5/1/87,,,,,
6/1/87,,,,,
7/1/87,,,,,
8/1/87,,,,,
9/1/87,,,,,
10/1/87,,,,,
11/1/87,,,,,
12/1/87,,,,,
1/1/88,,,,,
2/1/88,,,,,
3/1/88,,,,,
4/1/88,,,,,
5/1/88,,,,,
6/1/88,,,,,
7/1/88,,,,,
8/1/88,,,,,
9/1/88,,,,,
10/1/88,,,,,
11/1/88,,,,,
12/1/88,,,,,
1/1/89,,,,,1
2/1/89,,,,,
3/1/89,,,,,
4/1/89,,,,,
5/1/89,,,,,
6/1/89,,,,,
7/1/89,,,,,
8/1/89,,,,,
9/1/89,,,,,
10/1/89,,,,,
11/1/89,,,,,
12/1/89,,,,,
1/1/90,,,,,
2/1/90,,,,,
3/1/90,,,,,
4/1/90,,,,,
5/1/90,,,,,
6/1/90,,,,,
7/1/90,,,,,
8/1/90,,,,,
9/1/90,,,,,
10/1/90,,,,,
11/1/90,,,,,
12/1/90,,,,,
1/1/91,,,,,
2/1/91,,,,,
3/1/91,,,,,
4/1/91,,,,,
5/1/91,,,,,
6/1/91,,,,,
7/1/91,,,,,
8/1/91,,,,,
9/1/91,,,,,
10/1/91,,,,,
11/1/91,,,,,
12/1/91,,,,,
1/1/92,,,,,
2/1/92,,,,,
3/1/92,,,,,
4/1/92,,,,,
5/1/92,,,,,
6/1/92,,,,,
7/1/92,,,,,
8/1/92,,,,,
9/1/92,,,,,
10/1/92,,,,,
11/1/92,,,,,
12/1/92,,,,,
1/1/93,,,,,
2/1/93,,,,,
3/1/93,,,,,
4/1/93,,,,,
5/1/93,,,,,1
6/1/93,,,,,
