Date,Inflation,USDPHP,Imports_PHPMN,Exports_PHPMN,Non-tax Revenues,Population,Nominal GDP
01/01/2025,2.9,58.3906,673137.3471,383832.9447,75598.31177,115806994.8,
02/01/2025,2.1,58.0942,568074.7156,394295.2114,72089.64956,,
03/01/2025,1.8,57.4246,648447.7711,389493.2602,66735.25185,,6816423.174
04/01/2025,1.4,56.8529,612085.7123,385653.1192,71232.65603,,
05/01/2025,1.3,55.6246,609636.7161,407076.3977,62218.0968,,
06/01/2025,1.4,56.3586,646137.8229,398251.8475,62768.72179,,6534055.062
07/01/2025,0.9,56.7523,668863.312,417539.7241,66959.13198,,
08/01/2025,1.5,57.2525,636466.3096,408094.1024,57970.29614,,
09/01/2025,1.7,57.2501,684379.7179,416868.8932,63139.65434,,7920644.95
10/01/2025,1.7,58.2984,679003.7967,434256.6198,71415.45535,,
11/01/2025,1.5,58.9136,641501.9425,408082.7245,61330.29492,,
12/01/2025,1.8,58.8488,648471.4049,413474.6112,81052.95277,,6732609.733
01/01/2026,2,59.1622,675444.1882,422580.8041,79479.65539,116710298.4,
02/01/2026,2.4,58.2803,641838.6127,427219.6595,77847.11811,,
03/01/2026,4.1,59.4069,638603.0836,405116.5871,72195.84795,,7032331.834
04/01/2026,4.944294525,59.84289976,655293.2621,432653.5232,76458.63118,,
05/01/2026,5.188257716,59.89549093,660184.9961,435260.9368,68794.42327,,
06/01/2026,5.428283667,60.2780821,680366.8775,440452.2782,69316.62156,,6668734.813
07/01/2026,5.66525213,60.54424092,680312.1896,446933.0917,72812.25752,,
08/01/2026,5.560456826,60.70828798,688512.0332,454503.4604,65273.40681,,
09/01/2026,5.812285778,60.9899115,694973.6946,457170.775,69609.36866,,8111814.47
10/01/2026,5.872194086,61.1920615,678334.8642,435398.9368,76556.7799,,
11/01/2026,6.109064949,61.06650268,663536.8021,421930.0955,68091.35252,,
12/01/2026,5.743815087,60.94110568,686218.3866,429450.3827,84645.92607,,6781106.503
01/01/2027,5.797091363,61.04284998,637169.2196,427375.4265,85335.11844,117601280.2,
02/01/2027,5.731312084,60.83971802,683513.4813,453320.2356,83401.22012,,
03/01/2027,4.629658486,60.89711231,663372.6627,423400.6799,77797.63195,,7044806.094
