Date,Inflation,USDPHP,Imports_PHPMN,Exports_PHPMN,Population,Nominal GDP
2025-01-01,,,,,115806994.7589372,
2025-02-01,,,,,,
2025-03-01,,,,,,
2025-04-01,,,,,,
2025-05-01,,,,,,
2025-06-01,,,,,,
2025-07-01,,,,,,
2025-08-01,,,,,,
2025-09-01,,,,,,
2025-10-01,,,,,,
2025-11-01,,,,,,
2025-12-01,,,,,,
2026-01-01,,,,,116710298.37116799,
2026-02-01,,,,,,
2026-03-01,,,,,,
2026-04-01,,,,,,
2026-05-01,,,,,,
2026-06-01,,,,,,
2026-07-01,,,,,,
2026-08-01,,,,,,
2026-09-01,,,,,,
2026-10-01,,,,,,
2026-11-01,,,,,,
2026-12-01,,,,,,8138132.935956409
2027-01-01,5.509511771879699,61.04041074172464,695151.1398120838,429501.6758358988,117601280.23902042,
2027-02-01,5.414613783223363,60.8378808356637,652739.2619931123,427320.57881650573,,
2027-03-01,5.593618580126957,60.86308655090506,696300.4445611436,450446.3960038223,,8482481.360952288
2027-04-01,3.641382898688149,60.84498369156128,683082.8350183021,427582.17344997113,,
2027-05-01,3.758780617727287,60.88124057889713,700614.3915546855,451103.9311718225,,
2027-06-01,3.6651592786621285,61.263831751635315,705157.1616393196,454164.1957500514,,11585052.300376572
2027-07-01,3.6033197356290616,61.52999057087623,723776.7062981962,459359.92735045886,,
2027-08-01,3.564180234998314,61.694037624410655,724676.2365734135,465779.48075798963,,
2027-09-01,3.526619361788636,61.97566114770693,732688.4921475478,472831.6532786339,,11053216.074808165
2027-10-01,3.502202907041454,62.17781114860598,736642.6489961402,472087.3108942235,,
2027-11-01,3.4808433757650468,62.05225232702808,720920.2773961521,451703.1181601922,,
2027-12-01,3.66041007835701,61.92870675379296,710152.6229739585,440560.2280567076,,13811546.243550789
