Date,BIR,BOC,Other Offices,Non-tax Revenues,Expenditures,Tax Revenues
01/01/1992,15661,6286,174,2508,25134,22121
02/01/1992,7731,5757,152,2313,18752,13640
03/01/1992,7975,7872,171,4912,12600,16018
04/01/1992,19322,5724,143,1441,21690,25189
05/01/1992,7625,5153,136,2625,21277,12914
06/01/1992,9624,5934,84,2474,18451,15642
07/01/1992,14245,5632,157,3045,24871,20034
08/01/1992,10541,5498,210,2978,19654,16249
09/01/1992,7592,5069,145,3262,23304,12806
10/01/1992,13651,5730,161,2350,20362,19542
11/01/1992,7868,5986,141,1078,24130,13995
12/01/1992,12069,8229,257,5023,28455,20555
01/01/1993,16077,5033,42,4228,19592,21152
02/01/1993,7318,5026,142,1975,22276,12486
03/01/1993,10230,6612,165,1220,26526,17007
04/01/1993,18780,5924,319,1917,22569,25023
05/01/1993,10999,6222,273,2565,22549,17494
06/01/1993,9382,7030,156,2747,23241,16568
07/01/1993,13104,7170,223,4543,24185,20497
08/01/1993,12156,6993,199,1480,22835,19348
09/01/1993,9204,6817,247,2491,22121,16268
10/01/1993,14331,7192,149,2652,22908,21672
11/01/1993,13832,7673,205,1762,26204,21710
12/01/1993,10514,10279,152,2655,27290,20945
01/01/1994,17585,6823,141,2340,26300,24549
02/01/1994,9349,5217,132,4072,21143,14698
03/01/1994,13698,7745,268,10761,22732,21711
04/01/1994,25599,7231,199,4294,22380,33029
05/01/1994,15144,5701,196,4301,28072,21041
06/01/1994,11905,7159,179,2898,30251,19243
07/01/1994,17356,5016,169,2561,29015,22541
08/01/1994,16317,5758,303,4025,26975,22378
09/01/1994,11735,5231,191,6772,25827,17157
10/01/1994,18164,8019,209,7149,24778,26392
11/01/1994,17224,9037,143,13147,28588,26404
12/01/1994,13369,8673,119,2535,33813,22161
01/01/1995,18240,6812,200,2096,28501,25252
02/01/1995,11835,6893,254,11852,25313,18982
03/01/1995,12402,8350,278,13544,33473,21030
04/01/1995,29046,6778,209,2382,27134,36033
05/01/1995,17880,7505,123,1530,32952,25508
06/01/1995,14165,9007,255,2493,27286,23427
07/01/1995,20065,8620,246,1831,33616,28931
08/01/1995,19467,7335,271,3281,30717,27073
09/01/1995,12248,9544,243,3723,24077,22035
10/01/1995,19701,9481,309,2003,29363,29491
11/01/1995,18804,7912,199,938,27522,26915
12/01/1995,16342,9364,134,5030,30192,25840
01/01/1996,23547,7406,145,6698,37576,31098
02/01/1996,13663,8232,250,2285,30380,22145
03/01/1996,14915,9380,257,6240,26633,24552
04/01/1996,36447,8285,215,6842,36552,44947
05/01/1996,21426,9445,276,1477,33736,31147
06/01/1996,15151,7773,251,2381,28690,23175
07/01/1996,24676,9743,201,1838,41254,34620
08/01/1996,22947,8654,95,3167,32530,31696
09/01/1996,15775,8416,288,4604,28867,24479
10/01/1996,27578,8790,291,1307,38606,36659
11/01/1996,24627,11671,124,1756,34378,36422
12/01/1996,20022,6771,161,3960,34991,26954
01/01/1997,28601,6489,171,2178,40621,35261
