Date,BIR,BOC,Other Offices,Non-tax Revenues,Expenditures,Tax Revenues
03/31/1992,31367,19915,497,9733,56486,51779
06/30/1992,36571,16811,363,6540,61418,53745
09/30/1992,32378,16199,512,9285,67829,49089
12/31/1992,33588,19945,559,8451,72947,54092
03/31/1993,33625,16671,349,7423,68394,50645
06/30/1993,39161,19176,748,7229,68359,59085
09/30/1993,34464,20980,669,8514,69141,56113
12/31/1993,38677,25144,506,7069,76402,64327
03/31/1994,40632,19785,541,17173,70175,60958
06/30/1994,52648,20091,574,11493,80703,73313
09/30/1994,45408,16005,663,13358,81817,62076
12/31/1994,48757,25729,471,22831,87179,74957
03/31/1995,42477,22055,732,27492,87287,65264
06/30/1995,61091,23290,587,6405,87372,84968
09/30/1995,51780,25499,760,8835,88410,78039
12/31/1995,54847,26757,642,7971,87077,82246
03/31/1996,52125,25018,652,15223,94589,77795
06/30/1996,73024,25503,742,10700,98978,99269
09/30/1996,63398,26813,584,9609,102651,90795
12/31/1996,72227,27232,576,7023,107975,100035
03/31/1997,64797,20153,555,11095,97269,85505
06/30/1997,89821,21305,512,7313,114461,111638
09/30/1997,79530,25215,724,18731,123458,105469
12/31/1997,80549,28127,877,22539,135091,109553
03/31/1998,75544,18948,740,8427,115427,95232
06/30/1998,90508,15797,733,8407,127680,107038
09/30/1998,82470,21883,1205,19255,126512,105558
12/31/1998,88653,19377,727,9841,142877,108757
03/31/1999,75968,16939,759,11456,138585,93666
06/30/1999,100005,21165,1118,17331,158620,122288
09/30/1999,79628,21557,1341,10109,147709,102526
12/31/1999,85718,26836,652,7920,145246,113206
03/31/2000,82105,20167,1137,11124,136846,103409
06/30/2000,98964,24540,1200,11120,161205,124704
09/30/2000,84191,24354,1010,16547,161391,109555
12/31/2000,95542,25945,879,15937,189532,122366
03/31/2001,85112,20600,1232,14270,159139,106944
06/30/2001,105965,25299,1218,13003,185382,132482
09/30/2001,91819,26373,1374,19717,183613,119566
12/31/2001,105783,23960,1124,26883,182621,130867
03/31/2002,86623,20701,1190,16606,186328,108514
06/30/2002,102082,23700,1424,14196,199912,127206
09/30/2002,96789,25183,1560,19578,189865,123532
12/31/2002,109055,26666,1399,20389,201777,137120
03/31/2003,89921,26721,1390,18265,195176,118032
06/30/2003,119286,26313,1719,21901,189916,147318
09/30/2003,101846,25278,1747,22259,214257,128871
12/31/2003,114299,27780,1061,26844,227149,143140
03/31/2004,98974,29195,1987,22454,209457,130156
06/30/2004,130218,31373,2180,26911,213955,163771
09/30/2004,114656,31208,2118,25121,234890,147982
12/31/2004,124329,30695,1081,27268,228523,156105
03/31/2005,109679,31166,2131,28338,234780,142976
06/30/2005,150323,37268,2245,23233,217114,189836
09/30/2005,132927,34685,2365,35133,246077,169977
12/31/2005,142154,38611,1611,23840,244516,182376
03/31/2006,134957,42300,2172,25568,272607,179429
06/30/2006,183434,52432,2372,27818,229950,238238
09/30/2006,162364,51086,2756,28630,263741,216206
12/31/2006,171979,52343,1662,37765,278131,225984
03/31/2007,143108,40221,2745,51229,289271,186074
06/30/2007,191610,51936,2817,26613,261989,246363
09/30/2007,187202,60800,2536,51440,301007,250538
12/31/2007,191685,56482,1795,74341,296734,249962
03/31/2008,166622,48880,2423,35591,305075,217925
06/30/2008,223146,68147,3204,21976,282916,294497
09/30/2008,198108,76185,2698,32940,345305,276991
12/31/2008,190705,67036,2035,63209,337726,259776
03/31/2009,154771,43115,2858,34615,355045,200744
06/30/2009,220841,61696,3118,24688,344070,285655
09/30/2009,181423,60585,3166,48931,378228,245174
12/31/2009,193252,54911,1895,33346,344400,250058
03/31/2010,173892,60581,2916,28435,400003,237389
06/30/2010,229577,70141,3154,23408,388830,302872
09/30/2010,203861,60232,3434,35085,365671,267527
12/31/2010,215293,68287,2275,27355,367880,285855
03/31/2011,199549,62618,3485,57426,349275,265652
06/30/2011,258447,65939,3402,30774,349596,327788
09/30/2011,228264,66050,3606,37528,371211,297920
