number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_factor,params_kernel_size,params_l1_lambda,params_lr,params_num_channels,params_patience,params_seq_len,params_wd,state
0,inf,2026-02-12 10:49:15.019730,2026-02-12 10:49:15.019730,0 days 00:00:00,16,0.1989750266230205,0.4482269363307092,4,1.8536780369069837e-05,0.012983866671220666,"[128, 128, 128]",5,24,1.3598871561711122e-06,COMPLETE
1,inf,2026-02-12 10:49:15.279790,2026-02-12 10:49:15.287469,0 days 00:00:00.007679,32,0.3330294842450581,0.4758139309974318,4,3.2679743903963945e-05,0.001759460674617024,[128],10,12,3.228792386544481e-05,COMPLETE
2,inf,2026-02-12 10:49:15.289463,2026-02-12 10:49:15.292454,0 days 00:00:00.002991,16,0.170038471563223,0.4353305583117368,2,0.00041009977030460675,0.029327301979576993,[256],10,18,2.5826140190476998e-05,COMPLETE
3,inf,2026-02-12 10:49:15.292454,2026-02-12 10:49:15.292454,0 days 00:00:00,64,0.3419569704948402,0.48130437467845205,2,0.0016324013863789003,0.017091293188240275,"[256, 256, 256]",5,18,4.349998825827326e-06,COMPLETE
4,inf,2026-02-12 10:49:15.516559,2026-02-12 10:49:15.520236,0 days 00:00:00.003677,16,0.14962599611803618,0.38834800145155585,3,0.0003511641769080731,0.034842158670249784,"[64, 64, 64]",5,18,1.129551005367622e-06,COMPLETE
5,inf,2026-02-12 10:49:15.924735,2026-02-12 10:49:15.924735,0 days 00:00:00,64,0.3583269319815736,0.20075165299759085,4,0.002078212009970527,0.0013136247182734613,"[256, 256, 256]",5,18,6.653186689435437e-05,COMPLETE
6,inf,2026-02-12 10:49:16.132532,2026-02-12 10:49:16.135066,0 days 00:00:00.002534,16,0.2867770126236455,0.4366049035253943,5,1.6816916470127615e-05,0.009501990897790689,"[64, 64]",5,24,1.852789520419079e-05,COMPLETE
7,inf,2026-02-12 10:49:16.335635,2026-02-12 10:49:16.338847,0 days 00:00:00.003212,32,0.2733008032210475,0.38847635325106816,4,0.007626588230975054,0.02174916755702283,[128],5,18,3.91704013786805e-06,COMPLETE
8,inf,2026-02-12 10:49:16.341614,2026-02-12 10:49:16.345507,0 days 00:00:00.003893,64,0.1641107790685521,0.28258193300474294,5,0.0061213614605936766,0.011899244842955061,[64],10,18,1.4180381477643916e-06,COMPLETE
9,inf,2026-02-12 10:49:16.769087,2026-02-12 10:49:16.771796,0 days 00:00:00.002709,64,0.3397044111728209,0.4410937230525457,3,0.0003500145363581359,0.001035257522524868,"[64, 64]",5,18,2.031553043960681e-05,COMPLETE
10,inf,2026-02-12 10:49:16.773796,2026-02-12 10:49:16.791790,0 days 00:00:00.017994,16,0.16231936851211892,0.40664069754418153,4,0.00014132403410317383,0.012307304805738767,[256],5,24,3.156135296285568e-06,COMPLETE
11,inf,2026-02-12 10:49:17.212223,2026-02-12 10:49:17.229804,0 days 00:00:00.017581,32,0.31396330372269515,0.4659518815821387,5,4.654273259176535e-05,0.0016447400637135453,[128],10,12,2.33825585041397e-05,COMPLETE
12,inf,2026-02-12 10:49:17.436710,2026-02-12 10:49:17.458392,0 days 00:00:00.021682,16,0.2337259155024572,0.38612066602767026,4,1.031352181313412e-05,0.013110488212333415,"[128, 128, 128]",5,18,1.4465025534093315e-06,COMPLETE
13,inf,2026-02-12 10:49:17.658976,2026-02-12 10:49:17.708634,0 days 00:00:00.049658,16,0.15905078717669496,0.4906173091627859,3,2.4874316138994326e-05,0.005576720866129815,"[128, 128, 128]",5,24,5.7102270948097815e-06,COMPLETE
14,inf,2026-02-12 10:49:17.658976,2026-02-12 10:49:17.708634,0 days 00:00:00.049658,16,0.18330918714127242,0.48392645059434125,3,2.8101543109660022e-05,0.02431420836053358,"[128, 128, 128]",5,24,6.179087198756671e-06,COMPLETE
15,inf,2026-02-12 10:49:18.139982,2026-02-12 10:49:18.156543,0 days 00:00:00.016561,32,0.3557048251135518,0.34862698725320385,4,1.8058727867861468e-05,0.0018140504569254974,"[64, 64]",10,12,4.7847156291337434e-05,COMPLETE
16,inf,2026-02-12 10:49:18.157539,2026-02-12 10:49:18.175051,0 days 00:00:00.017512,32,0.22581770714285115,0.4424736560059755,4,5.800956712752498e-05,0.0006168217272563656,"[128, 128, 128]",10,24,1.1155976106341923e-05,COMPLETE
17,inf,2026-02-12 10:49:18.376763,2026-02-12 10:49:18.391897,0 days 00:00:00.015134,64,0.38149387744927543,0.4005272837253526,4,9.424219590478051e-05,0.0011281209521547318,[128],10,12,3.2534822132700074e-06,COMPLETE
18,inf,2026-02-12 10:49:18.817505,2026-02-12 10:49:18.832865,0 days 00:00:00.015360,16,0.22519921114695424,0.46797469257145274,4,2.159766628800985e-05,0.003565871717253197,[128],10,24,5.4437744427739884e-05,COMPLETE
19,inf,2026-02-12 10:49:18.835757,2026-02-12 10:49:18.851253,0 days 00:00:00.015496,32,0.11656414834546006,0.46029503391951887,5,4.9463783968451826e-05,0.02215750603931134,"[128, 128, 128]",10,24,1.00158960711584e-06,COMPLETE
20,inf,2026-02-12 10:49:19.279973,2026-02-12 10:49:19.296852,0 days 00:00:00.016879,32,0.3231526010648944,0.46748794341880684,4,1.3443974211942698e-05,0.005130749470328386,[128],5,18,1.1769438084618761e-05,COMPLETE
21,inf,2026-02-12 10:49:19.508374,2026-02-12 10:49:19.534445,0 days 00:00:00.026071,32,0.23913639904661116,0.4720614079626405,2,0.0001297528295432711,0.03674819299852026,"[64, 64]",10,18,2.7648124889001196e-05,COMPLETE
